github.com/AlDanial/cloc v 2.06  T=0.14 s (989.1 files/s, 507828.9 lines/s)
---------------------------------------------------------------------------------------------------------------
File                                                                        blank        comment           code
---------------------------------------------------------------------------------------------------------------
./internal/runtime/attributes.go                                               56             94           2994
./internal/compiler/compiler.go                                               351            299           2125
./internal/compiler/parser.go                                                 391             75           2100
./internal/runtime/vm.go                                                      215            221           1927
./internal/compiler/optimizer.go                                              213            254           1696
./internal/runtime/builtins.go                                                112            132           1548
./internal/runtime/operations.go                                               48             79           1289
./internal/runtime/generators.go                                              148            113           1265
./internal/stdlib/datetime.go                                                 143             74           1103
./test/advanced_oop_test.go                                                   153             60           1043
./test/parser_edge_cases_test.go                                              120             66           1013
./internal/stdlib/itertools.go                                                163             80            986
./test/vm_edge_cases_test.go                                                  132             57            893
./test/module_import_test.go                                                  112            103            878
./internal/compiler/lexer.go                                                  134             75            847
./internal/stdlib/os.go                                                       123            101            845
./internal/stdlib/csv.go                                                      145             79            837
./internal/compiler/optimizer_test.go                                         271             67            832
./test/unicode_encoding_test.go                                                89             65            804
./internal/runtime/types.go                                                   114            110            765
./internal/stdlib/collections.go                                              120             77            761
./internal/stdlib/typing.go                                                   120            112            731
./test/stdlib_test.go                                                         225             26            714
./test/file_io_test.go                                                         58             62            684
./internal/model/ast.go                                                       154             86            655
./internal/runtime/conversions.go                                              30             43            650
./test/inheritance_test.go                                                    195             61            639
./internal/runtime/builtins_reflection.go                                      85             97            638
./pkg/rage/rage.go                                                             93            153            636
./internal/compiler/parser_test.go                                            135              0            629
./internal/stdlib/io.go                                                       104             63            614
./test/error_path_test.go                                                     133             94            603
./test/stress_performance_test.go                                              88             64            602
./test/integration_test.go                                                    114              0            564
./internal/stdlib/functools.go                                                 94             75            540
./internal/stdlib/re.go                                                       100             34            522
./internal/runtime/items.go                                                    37             38            521
./internal/runtime/opcode.go                                                   54             60            505
./test/api_test.go                                                            118             57            481
./test/generator_test.go                                                       74             58            475
./test/integration/scripts/66_cpython_property_descriptor.py                  137             59            460
./internal/stdlib/json.go                                                      78             36            454
./internal/runtime/api.go                                                      97            141            435
./internal/stdlib/base64.go                                                    72             45            398
./test/integration/scripts/67_cpython_magic_methods.py                        141             60            394
./pkg/rage/value.go                                                            63             63            386
./test/integration/scripts/06_exceptions.py                                    49             15            365
./test/integration/scripts/74_cpython_class_advanced.py                       125             65            365
./internal/compiler/lexer_test.go                                              70              0            362
./test/bugfix_test.go                                                          71             59            360
./test/integration/scripts/64_cpython_inheritance.py                           99             44            353
./internal/stdlib/time.go                                                      36             27            351
./test/integration/scripts/65_cpython_generators_advanced.py                  118            112            324
./test/descriptor_test.go                                                      78             12            307
./test/integration/scripts/70_cpython_global_builtins.py                       88             65            294
./test/integration/integration_test_runner.go                                  51             39            290
./test/module_test.go                                                          71             20            289
./test/exception_test.go                                                       62             15            288
./internal/model/token.go                                                      20             10            286
./test/integration/scripts/61_cpython_list_methods.py                          41             20            278
./test/integration/scripts/62_cpython_decorators.py                            75             39            275
./test/integration/scripts/69_cpython_tuple_methods.py                         74             57            273
./test/integration/scripts/68_cpython_set_methods.py                           69             61            270
./test/integration/scripts/42_cpython_classes.py                               23             23            261
./test/integration/scripts/39_cpython_builtins.py                              28             32            260
./test/integration/scripts/15_match_statements.py                              42              3            257
./test/integration/scripts/12_decorators.py                                    69              4            255
./internal/stdlib/random.go                                                    42             24            254
./test/integration/scripts/24_multiple_inheritance.py                          82             63            250
./test/integration/scripts/60_cpython_dict_methods.py                          37             22            249
./test/integration/scripts/19_typing.py                                        39              2            242
./test/io_test.go                                                              66              8            239
./test/integration/scripts/56_cpython_exception_edge.py                        26             13            232
./test/integration/scripts/08_builtins.py                                      41              3            228
./test/integration/scripts/37_cpython_generators.py                            28              4            226
./internal/runtime/calls.go                                                    36             47            224
./test/integration/scripts/59_cpython_string_methods.py                        34             27            224
./test/integration/scripts/31_cpython_list.py                                  33              5            219
./test/integration/scripts/27_dunder_methods.py                                65             12            214
./test/integration/scripts/23_functools.py                                     60             33            207
./test/integration/scripts/46_cpython_unary.py                                 28             23            207
./internal/runtime/exceptions.go                                               25             34            205
./internal/stdlib/math.go                                                      36             12            204
./test/integration/scripts/45_cpython_iterators.py                             24             27            204
./test/integration/scripts/52_cpython_del.py                                   28             24            198
./internal/runtime/module.go                                                   48             56            197
./test/integration/scripts/58_cpython_sequence_ops.py                          38             17            194
./internal/stdlib/sys.go                                                       24             32            190
./test/integration/scripts/28_cpython_int.py                                   28             13            189
./test/integration/scripts/41_cpython_closures.py                              23             27            183
./test/integration/scripts/32_cpython_dict.py                                  30              8            178
./test/integration/scripts/53_cpython_type_conversions.py                      36             13            175
./test/integration/scripts/55_cpython_control_flow.py                          23             16            175
./test/integration/scripts/17_os.py                                            37             12            174
./test/integration/scripts/50_cpython_math_advanced.py                         31             19            173
./test/integration/scripts/30_cpython_str.py                                   26              7            172
./test/integration/scripts/43_cpython_with.py                                  15             18            171
./test/integration/scripts/51_cpython_scopes.py                                24             25            171
./test/integration/scripts/20_csv.py                                           28             16            168
./test/integration/scripts/22_reflection_builtins.py                           43             21            167
./test/integration/scripts/16_json.py                                          45             13            163
./test/integration/scripts/18_datetime.py                                      35              3            162
./test/integration/scripts/26_frozenset.py                                     27             11            160
./test/integration/scripts/57_cpython_numeric_edge.py                          37             18            160
./test/integration/scripts/63_cpython_comprehensions.py                        36             21            158
./internal/stdlib/asyncio.go                                                   21             19            154
./test/integration/scripts/25_base64.py                                        50             57            153
./test/integration/scripts/48_cpython_slice.py                                 30             12            144
./test/integration/scripts/34_cpython_set.py                                   23              6            142
./test/integration/scripts/13_asyncio.py                                       41             10            138
./test/integration/scripts/09_strings.py                                       31              8            135
./test/integration/scripts/35_cpython_bool.py                                  20              4            131
./test/integration/scripts/36_cpython_range.py                                 23              3            129
./test/integration/scripts/14_file_io.py                                       27              3            127
./test/integration/scripts/49_cpython_assert.py                                18             14            127
./test/integration/scripts/02_operators.py                                     24              2            126
./test/integration/scripts/38_cpython_bytes.py                                 26              3            126
./test/integration/scripts/05_classes.py                                       25              3            124
./test/integration/scripts/29_cpython_float.py                                 23              6            121
./test/integration/scripts/47_cpython_lambda.py                                23             16            120
./test/integration/scripts/07_comprehensions.py                                34              3            119
./test/integration/scripts/21_itertools.py                                     24              2            115
./test/integration/scripts/40_cpython_format.py                                21              9            111
./test/integration/scripts/33_cpython_tuple.py                                 18              7            109
./test/integration/scripts/54_cpython_membership.py                            22             15            104
./test/integration/scripts/03_control_flow.py                                  16             13             90
./test/integration/scripts/04_functions.py                                     18              3             85
./test/integration/scripts/44_cpython_sort.py                                  25             18             82
./test/integration/scripts/01_data_types.py                                    13              2             77
./internal/runtime/iteration.go                                                 9              9             72
./test/integration/scripts/11_stdlib.py                                        17              2             68
./test/integration/scripts/10_collections.py                                   16              4             60
./internal/utils/ast.go                                                         4              0             58
./test/integration/expected/27_dunder_methods.txt                               9              0             53
./cmd/rage/main.go                                                             10              5             49
./internal/stdlib/string.go                                                     8              8             49
./test/integration/scripts/test_framework.py                                    7              2             33
./.github/workflows/ci.yml                                                      8              0             23
./test/bench/calc_pi.py                                                         7              5             22
./internal/stdlib/init.go                                                       1              3             19
./pkg/rage/doc.go                                                              47            128              1
./test/integration/scripts/basic/hello.py                                       0              0              1
---------------------------------------------------------------------------------------------------------------
SUM:                                                                         9414           5743          57747
---------------------------------------------------------------------------------------------------------------
